"CODI_ESTACIO";"NOM_ESTACIO";"CODI_TIPUS";"LATITUD";"LONGITUD";"Georeferència";"EMPLACAMENT";"ALTITUD";"CODI_MUNICIPI";"NOM_MUNICIPI";"CODI_COMARCA";"NOM_COMARCA";"CODI_PROVINCIA";"NOM_PROVINCIA";"CODI_XARXA";"NOM_XARXA";"CODI_ESTAT";"NOM_ESTAT";"DATA_ALTA";"DATA_BAIXA"
"UR";"Malgrat de Mar - Cooperativa";"A";"41,64908";"2,75209";"POINT (2.75209 41.64908)";"Cooperativa Garbí, camí del Pla, s/n. Apt. correus 80";"2";"81108";"Malgrat de Mar";"21";"Maresme";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"09/01/1990";"04/05/2005"
"VM";"Vilanova de Segrià";"A";"41,71448";"0,62838";"POINT (0.62838 41.71448)";"Partida lo Sort";"223";"252516";"Vilanova de Segrià";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"17/09/1997";
"X8";"Barcelona - Zona Universitària";"A";"41,37922";"2,10537";"POINT (2.10537 41.37922)";"Pistes UB";"82";"80193";"Barcelona";"13";"Barcelonès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"17/04/2008";
"V4";"Montesquiu";"A";"42,11479";"2,21481";"POINT (2.21481 42.11479)";"Castell de Montesquiu";"683";"81311";"Montesquiu";"24";"Osona";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"02/12/1998";
"U3";"Sant Martí Sarroca";"A";"41,37492";"1,6303";"POINT (1.6303 41.37492)";"Mas Rabell de Fontenac";"257";"82270";"Sant Martí Sarroca";"3";"Alt Penedès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"24/05/1997";
"DM";"Girona - Bombers";"A";"41,96012";"2,80696";"POINT (2.80696 41.96012)";"Parc de Bombers";"90";"170792";"Girona";"20";"Gironès";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"10/05/2001";"15/09/2010"
"VE";"Aitona";"A";"41,48692";"0,46058";"POINT (0.46058 41.48692)";"Camí del canal de Seròs";"97";"250387";"Aitona";"33";"Segrià";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"12/03/1998";"12/04/2022"
"VL";"Seròs - la Creu";"A";"41,46014";"0,40562";"POINT (0.40562 41.46014)";"Crta. de Seròs a la Granja d'Escarp";"100";"252043";"Seròs";"33";"Segrià";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"05/01/1998";"15/12/2011"
"US";"les Cases d'Alcanar";"A";"40,55788";"0,52329";"POINT (0.52329 40.55788)";"El Mas d'en Serra - Barranc de St. Jaume";"25";"430043";"Alcanar";"22";"Montsià";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"06/05/1991";
"W1";"Castelló d'Empúries";"A";"42,24726";"3,09022";"POINT (3.09022 42.24726)";"Can Garriga - Mas Bellesguard";"5";"170470";"Castelló d'Empúries";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"14/03/2000";
"D5";"Barcelona - Observatori Fabra";"A";"41,41864";"2,12379";"POINT (2.12379 41.41864)";"Observatori Fabra";"410";"80193";"Barcelona";"13";"Barcelonès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"03/11/1995";
"XP";"Gandesa";"A";"41,06564";"0,43006";"POINT (0.43006 41.06564)";"IRTA UETA Gandesa";"351";"430640";"Gandesa";"37";"Terra Alta";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"30/11/2011";
"Z7";"Espot (2.519 m)";"A";"42,5341";"1,05474";"POINT (1.05474 42.5341)";"Espot";"2.519";"250827";"Espot";"26";"Pallars Sobirà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"01/03/2002";
"YT";"Bonabé (1.691 m)";"A";"42,75094";"1,07527";"POINT (1.07527 42.75094)";"Pista de la Mina";"1.691";"250241";"Alt Àneu";"26";"Pallars Sobirà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"19/09/2024";
"XI";"Mollerussa";"A";"41,61817";"0,87182";"POINT (0.87182 41.61817)";"-";"246";"251370";"Mollerussa";"27";"Pla d'Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"20/01/2010";
"CM";"Montmeló";"A";"41,54911";"2,24546";"POINT (2.24546 41.54911)";"Torreta de Can Campanyà";"75,2";"81350";"Montmeló";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"23/01/1996";"22/03/2006"
"WQ";"Montsec d'Ares (1.571 m)";"A";"42,0513";"0,72952";"POINT (0.72952 42.0513)";"Serra de la Corona - Centre d'Observació de l'Univers";"1.571";"251961";"Sant Esteve de la Sarga";"25";"Pallars Jussà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"17/06/2003";
"KX";"la Roca del Vallès - ETAP Cardedeu";"A";"41,61865";"2,36114";"POINT (2.36114 41.61865)";"Planta tractament d'Aigües Ter - Llobregat";"164";"81810";"La Roca del Vallès";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"05/01/1996";
"XO";"Vic";"A";"41,93498";"2,23984";"POINT (2.23984 41.93498)";"Vic";"500";"82981";"Vic";"24";"Osona";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"22/12/2011";
"X4";"Barcelona - el Raval";"A";"41,38386";"2,16774";"POINT (2.16774 41.38386)";"Facultat de Geografia i Història. c. Montalegre nº6, 6a";"33";"80193";"Barcelona";"13";"Barcelonès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"11/10/2006";
"YB";"Olot";"A";"42,18811";"2,47094";"POINT (2.47094 42.18811)";"Pla de Dalt";"435";"171143";"Olot";"19";"Garrotxa";"17";"Girona";"1";"XEMA";"2";"Operativa";"21/07/2016";
"UK";"Sant Pere de Ribes - PN del Garraf";"A";"41,27861";"1,80478";"POINT (1.80478 41.27861)";"Granja escola Can Pere";"164";"82310";"Sant Pere de Ribes";"17";"Garraf";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"11/05/1999";
"YR";"Vilanova i la Geltrú";"A";"41,23578";"1,73141";"POINT (1.73141 41.23578)";"Circuit de ciclisme";"32";"83073";"Vilanova i la Geltrú";"17";"Garraf";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"13/04/2023";
